<<<<<<< HEAD
Trial,day,ctrl1,S1,S2,S3,S4,S5,S6
9/12/14,0,,,,,,,
12/12/14,11.5,0,0,0,0,0,0,1
12/12/14,12,0,0,0,0,1,2,0
12/12/14,Alive,16,0,2,,1,3,5
1/7/15,0,,,,,,,
1/7/15,0.5,,,,,,,
1/7/15,1,,,,,,,
1/7/15,1.5,,,,,,,
1/7/15,2,0,3,0,1,5,2,0
1/7/15,2.5,1,1,0,3,1,1,0
1/7/15,3,3,0,0,0,0,3,0
1/7/15,3.5,0,0,0,0,0,0,2
1/7/15,4,0,0,1,0,0,0,3
1/7/15,4.5,0,0,2,0,0,0,2
1/7/15,5,0,0,0,1,0,0,0
1/7/15,5.5,0,1,1,1,0,0,0
1/7/15,6,0,3,4,0,0,0,1
1/7/15,6.5,0,3,2,2,0,1,1
1/7/15,7,0,1,1,2,0,0,3
1/7/15,7.5,0,1,4,0,0,0,1
1/7/15,8,0,3,1,0,0,0,2
1/7/15,8.5,0,2,1,1,0,0,1
1/7/15,9,1,2,2,7,2,1,0
1/7/15,9.5,0,0,0,2,2,1,0
1/7/15,10,0,0,2,1,0,0,0
1/7/15,10.5,0,0,0,0,1,1,0
1/7/15,11,2,0,0,0,0,0,0
1/7/15,11.5,0,0,0,0,0,0,1
1/7/15,12,0,0,0,0,1,3,0
1/7/15,12.5,0,1,0,0,1,0,0
1/7/15,13,0,0,0,0,1,0,0
1/7/15,13.5,0,0,0,0,0,1,0
1/7/15,14,0,1,0,0,0,1,0
1/7/15,14.5,0,0,0,0,0,0,0
1/7/15,15,0,0,0,0,0,2,1
1/7/15,Alive,11,1,4,0,0,0,5
=======
Trial,day,ctrl1,ctrl2,S1,S2,S3,S4,S5,S6
9/12/14,0,,,,,,,,
9/12/14,0.5,,,,,,,,
9/12/14,1,,,,,,,,
9/12/14,1.5,,,,,,,,
9/12/14,2,3,2,1,0,2,0,1,0
9/12/14,2.5,0,0,2,1,0,0,0,0
9/12/14,3,0,0,1,0,0,1,1,0
9/12/14,3.5,0,0,2,0,1,0,0,2
9/12/14,4,0,0,0,2,0,1,0,0
9/12/14,4.5,0,2,2,0,0,2,2,3
9/12/14,5,0,1,1,4,0,2,0,0
9/12/14,5.5,2,0,2,2,2,2,0,0
9/12/14,6,1,0,1,1,3,2,0,0
9/12/14,6.5,0,0,5,5,1,1,1,1
9/12/14,7,0,0,2,3,1,2,2,1
9/12/14,7.5,0,0,3,1,2,0,1,1
9/12/14,8,0,0,0,1,2,1,0,2
9/12/14,8.5,0,0,2,0,1,0,1,3
9/12/14,9,0,0,0,0,1,3,0,2
9/12/14,9.5,1,0,0,1,0,1,0,1
9/12/14,10,0,0,0,2,1,2,1,2
9/12/14,10.5,1,0,1,0,0,1,0,0
9/12/14,11,0,0,1,0,1,0,3,1
9/12/14,11.5,0,0,0,0,1,0,0,0
9/12/14,12,0,0,0,0,0,0,2,0
9/12/14,12.5,0,0,0,1,0,0,1,1
9/12/14,13,0,0,0,0,0,0,1,1
9/12/14,13.5,0,1,0,0,0,0,0,0
9/12/14,14,0,0,0,0,0,0,0,0
9/12/14,14.5,0,0,0,0,1,0,0,0
9/12/14,15,0,0,0,0,0,0,0,0
9/12/14,15.5,0,0,0,0,0,0,0,0
9/12/14,16,0,0,0,0,0,0,0,0
9/12/14,16.5,0,0,0,0,0,0,0,0
9/12/14,17,0,0,0,0,0,0,0,0
9/12/14,17.5,0,0,0,0,0,0,0,0
9/12/14,18,0,0,0,0,0,0,0,0
9/12/14,Alive,16,19,0,0,,0,0,0
12/12/14,0,,,,,,,,
12/12/14,0.5,,,,,,,,
12/12/14,1,,,,,,,,
12/12/14,1.5,,,,,,,,
12/12/14,2,0,3,2,0,1,4,1,0
12/12/14,2.5,1,1,1,0,1,1,1,1
12/12/14,3,1,1,1,3,1,0,1,0
12/12/14,3.5,0,1,1,1,0,0,0,0
12/12/14,4,0,0,0,1,3,0,5,1
12/12/14,4.5,0,0,0,0,0,0,0,0
12/12/14,5,0,2,2,0,0,1,3,0
12/12/14,5.5,0,0,1,2,0,1,1,1
12/12/14,6,0,0,1,0,0,3,1,1
12/12/14,6.5,0,0,0,0,2,0,1,1
12/12/14,7,0,0,2,1,2,0,0,1
12/12/14,7.5,0,0,2,3,2,2,2,0
12/12/14,8,0,0,3,1,2,2,1,0
12/12/14,8.5,0,0,3,0,4,0,0,0
12/12/14,9,1,0,0,0,0,1,0,6
12/12/14,9.5,0,0,0,0,1,0,0,0
12/12/14,10,0,0,1,3,0,3,0,3
12/12/14,10.5,0,0,0,1,0,1,0,1
12/12/14,11,0,0,0,1,0,0,0,1
12/12/14,11.5,0,0,0,0,0,0,0,1
12/12/14,12,0,0,0,0,0,1,2,0
12/12/14,Alive,16,13,0,2,,1,3,5
1/7/15,0,,,,,,,,
1/7/15,0.5,,,,,,,,
1/7/15,1,,,,,,,,
1/7/15,1.5,,,,,,,,
1/7/15,2,0,3,3,0,1,5,2,0
1/7/15,2.5,1,1,1,0,3,1,1,0
1/7/15,3,3,1,0,0,0,0,3,0
1/7/15,3.5,0,1,0,0,0,0,0,2
1/7/15,4,0,0,0,1,0,0,0,3
1/7/15,4.5,0,0,0,2,0,0,0,2
1/7/15,5,0,2,0,0,1,0,0,0
1/7/15,5.5,0,0,1,1,1,0,0,0
1/7/15,6,0,0,3,4,0,0,0,1
1/7/15,6.5,0,0,3,2,2,0,1,1
1/7/15,7,0,0,1,1,2,0,0,3
1/7/15,7.5,0,0,1,4,0,0,0,1
1/7/15,8,0,0,3,1,0,0,0,2
1/7/15,8.5,0,0,2,1,1,0,0,1
1/7/15,9,1,0,2,2,7,2,1,0
1/7/15,9.5,0,0,0,0,2,2,1,0
1/7/15,10,0,1,0,2,1,0,0,0
1/7/15,10.5,0,0,0,0,0,1,1,0
1/7/15,11,2,0,0,0,0,0,0,0
1/7/15,11.5,0,0,0,0,0,0,0,1
1/7/15,12,0,0,0,0,0,1,3,0
1/7/15,12.5,0,0,1,0,0,1,0,0
1/7/15,13,0,0,0,0,0,1,0,0
1/7/15,13.5,0,0,0,0,0,0,1,0
1/7/15,14,0,0,1,0,0,0,1,0
1/7/15,14.5,0,0,0,0,0,0,0,0
1/7/15,15,0,0,0,0,0,0,2,1
1/7/15,Alive,11,9,1,4,0,0,0,5
>>>>>>> 747a2a862fc6bd31fdabc231183b2e7803e9def7
